user,ID,rating
phunlvr,84876,10.0
MelissaHewitt,84876,10.0
Rexelement,84876,10.0
regnsky,84876,10.0
_Zix_,84876,10.0
Salsero7,84876,10.0
tatertotmonkey,84876,10.0
DBlackmore,84876,10.0
Zaakistan,84876,10.0
ProgenitorX,84876,10.0
klopsik1985,84876,10.0
Tonymo,84876,10.0
KARGERAV,84876,10.0
ronnieservo,84876,10.0
matemusician,84876,10.0
dantheapple,84876,10.0
Tote,84876,10.0
Wolftaco82,84876,10.0
kekunz,84876,10.0
TwoofftheTop,84876,10.0
Raziel89_PL,84876,10.0
Rivershark99,84876,10.0
AmazonWitchDoctor,84876,10.0
Game of Boards,84876,10.0
JohnFlak,84876,10.0
DreadPirateJabu,84876,10.0
Sone,84876,10.0
Bauwolf,84876,10.0
tomdog1977,84876,10.0
HollowedHollow,84876,10.0
peszka121,84876,10.0
gp0301,84876,10.0
Ironweed,84876,10.0
ddoddogi,84876,10.0
virzeia,84876,10.0
elultimomeeple,84876,10.0
purpleclover12,84876,10.0
zaradek,84876,10.0
CG97,84876,10.0
Szamano,84876,10.0
grgibian,84876,10.0
kinggha,84876,10.0
Ranged Knight,84876,10.0
reubenpaul77,84876,10.0
adeleleann,84876,10.0
blabelblubb,84876,10.0
oyang,84876,10.0
DarkerSide,84876,10.0
orllopes,84876,10.0
MuszekMK,84876,10.0
chuliangdayfly,84876,10.0
Vandonk,84876,10.0
edwinrumbledove,84876,10.0
vaskenzis,84876,10.0
gleancrawler,84876,10.0
kchutch,84876,10.0
builin,84876,10.0
Gene Jacket,84876,10.0
wisemel,84876,10.0
moonwaltz7,84876,10.0
corac,84876,10.0
JBH680,84876,10.0
frezje,84876,10.0
fortinos,84876,10.0
djinni74,84876,10.0
Ravengar,84876,10.0
IceE,84876,10.0
Aberdeen1977,84876,10.0
sgtpepere,84876,10.0
kaypec,84876,10.0
AlphaRed,84876,10.0
cowchip7,84876,10.0
Squeze,84876,10.0
manowar77,84876,10.0
Rurinn,84876,10.0
piratplanszowek,84876,10.0
capmmurray,84876,10.0
jeesika,84876,10.0
Jakebudden,84876,10.0
Flohzirkus,84876,10.0
jay_bird82,84876,10.0
Temeryx,84876,10.0
Stengray,84876,10.0
StagBG,84876,10.0
TigressLion,84876,10.0
rachelmmleon,84876,10.0
timbuktu82,84876,10.0
CheshirePanda,84876,10.0
Konig87,84876,10.0
marlus,84876,10.0
BeckyRose,84876,10.0
Aluminium,84876,10.0
ElCheapo,84876,10.0
KidCuervo,84876,10.0
Bone2kk,84876,10.0
thieslo,84876,10.0
AFTAN,84876,10.0
Djavani,84876,10.0
StandSure,84876,10.0
